# Log Format
# ZCZC WEEK# MINUTES LogCode Description
# LogCode: https://osp4diss.vlsm.org/ETC/logCodes.txt
ZCZC W00 15 L03 GitHub Related
ZCZC W00 10 L10 Assignment #00
ZCZC W00 10 L11 Assignment #01
ZCZC W00 10 L12 Assignment #02
ZCZC W00 10 L13 Assignment #03
ZCZC W00 10 L14 Assignment #04
ZCZC W00 60 L15 Assignment #05
ZCZC W00 90 L06 References/Books/Documents/GSGS related
ZCZC W01 20 L11 Assignment #01
ZCZC W01 30 L12 Assignment #02
ZCZC W01 60 L13 Assignment #03
ZCZC W01 120 L14 Assignment #04
ZCZC W01 20 L15 Assignment #05
ZCZC W01 60 L16 Assignment #06
ZCZC W01 10 L17 Assignment #07
ZCZC W01 45 L18 Assignment #08
ZCZC W02 80 L11 Assignment #01
ZCZC W02 20 L12 Assignment #02
ZCZC W02 45 L13 Assignment #03
ZCZC W02 05 L14 Assignment #04
ZCZC W02 05 L15 Assignment #05
ZCZC W02 05 L16 Assignment #06
ZCZC W02 10 L17 Assignment #07
ZCZC W02 10 L18 Assignment #08
ZCZC W02 60 L19 Assignment #09
ZCZC W02 30 L20 Assignment #10
ZCZC W02 30 L09 Assignment in General
ZCZC W02 70 L26 C-language
ZCZC W02 60 L06 References/Books/Documents/GSGS Related
ZCZC W03 20 L14 Assignment #04
ZCZC W03 30 L15 Assignment #05
ZCZC W03 30 L19 Assignment #09
ZCZC W03 45 L01 SCELE/Discord related
ZCZC W03 120 L11 Assignment #01
ZCZC W03 10 L12 Assignment #02
ZCZC W03 60 L13 Assignment #03
ZCZC W03 60 L16 Assignment #06
ZCZC W03 15 L17 Assignment #07
ZCZC W03 15 L18 Assignment #08
ZCZC W04 80 L11 Assignment #01
ZCZC W04 30 L12 Assingment #02
ZCZC W04 30 L13 Assignment #03
ZCZC W04 05 L14 Assignment #04
ZCZC W04 20 L15 Assignment #05
ZCZC W04 10 L18 Assignment #08
ZCZC W04 10 L19 Assignment #09
ZCZC W04 45 L01 SCELE/Discord related
ZCZC W04 60 L16 Assignment #06
ZCZC W04 15 L17 Assignment #07
ZCZC W05 60 L11 Assignment #01
ZCZC W05 15 L12 Assignment #02
ZCZC W05 30 L13 Assignment #03
ZCZC W05 70 L14 Assignment #04
ZCZC W05 30 L15 Assignment #05
ZCZC W05 15 L17 Assignment #07
ZCZC W05 10 L18 Assignment #08
ZCZC W05 10 L19 Assignment #09
ZCZC W06 80 L11 Assignment #01
ZCZC W06 15 L12 Assignment #02
ZCZC W06 30 L13 Assignment #03
ZCZC W06 60 L14 Assignment #04
ZCZC W06 20 L15 Assignment #05
ZCZC W06 20 L17 Assignment #07
ZCZC W06 10 L18 Assignment #08
ZCZC W06 10 L19 Assignment #09
ZCZC W07 90 L11 Assignment #01
ZCZC W07 45 L13 Assignment #03
ZCZC W07 60 L14 Assignment #04
ZCZC W07 20 L15 Assignment #05
ZCZC W07 15 L17 Assignment #07
ZCZC W07 10 L18 Assignment #08
ZCZC W07 10 L19 Assignment #09
ZCZC W08 60 L14 Assignment #04
ZCZC W08 120 L15 Assignment #05
ZCZC W08 60 L11 Assignment #01
ZCZC W08 15 L12 Assignment #02
ZCZC W08 30 L13 Assignment #03
ZCZC W08 30 L16 Assignment #06
ZCZC W08 30 L18 Assignment #08
ZCZC W08 15 L19 Assignment #09
ZCZC W08 10 L20 Assignment #10
ZCZC W09 210 L14 Assignment #04
